kod,sirket_adi,url,talep_tarihi,sonuclar_aciklandi,halka_arz_fiyati,dagitim_yontemi,toplam_lot,sermaye_artisi_lot,ortak_satisi_lot,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_kisi,bireysel_lot,bireysel_lot_basina_kisi,ilk_islem_tarihi,fon_kullanim_yeri,yil
IZENR,İzdemir Enerji Elektrik Üretim A.Ş.,https://halkarz.com/izdemir-enerji-elektrik-uretim-a-s/,,0,19.00,Eşit Dağıtım,115100000.0,75000000.0,40100000.0,65.16,34.84,2648422.0,92080000.0,34.77,16 Ağustos 2023,"- %75-80 GES (güneş enerjisi elektrik santrali) kurulması. - %20-25 İşletme sermayesi. * İzahname, Sayfa 242.",2023
ASGYO,Asce Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/asce-gayrimenkul-yatirim-ortakligi-a-s/,,0,12.60,Eşit Dağıtım,165000000.0,99000000.0,66000000.0,60.0,40.0,1320026.0,132000000.0,100.0,3 Ağustos 2023,"- (150.000.000 TL) Şirket borçlarının ödenmesi. - %60 Projelerin finansmanı. - %20 Arsa ve muhtelif gayrimenkul alımları. - %20 İşletme sermayesi. * İzahname, Sayfa 136.",2023
KLSER,"Kaleseramik, Çanakkale Kalebodur Seramik Sanayi A.Ş.",https://halkarz.com/kaleseramik-canakkale-kalebodur-seramik-sanayi-a-s/,,0,25.00,Eşit Dağıtım,109390465.0,109390465.0,0.0,100.0,0.0,1917446.0,86418467.0,45.07,27 Temmuz 2023,"- %50 Slab-Sinterflex yatırımı. - %15 Sürdürülebilirlik yatırımları. - %6 Yurtdışı yatırım. - %5 Banyo yatırımı. - %4 Frit yatırımları. - %20 Kredi kapaması. * İzahname, Sayfa 371.",2023
FZLGY,Fuzul Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/fuzul-gayrimenkul-yatirim-ortakligi-a-s/,,0,8.90,Eşit Dağıtım,91860000.0,63860000.0,28000000.0,69.52,30.48,1326756.0,65396750.0,49.29,28 Temmuz 2023,"- %100 Devam eden projelerin maliyetlerinin finansmanında. * İzahname, Sayfa 252.",2023
ATAKP,Atakey Patates Gıda San. ve Tic. A.Ş.,https://halkarz.com/atakey-patates-gida-san-ve-tic-a-s/,,0,39.50,Eşit Dağıtım,28224000.0,21168000.0,7056000.0,75.0,25.0,1665366.0,2257920.0,1.36,27 Temmuz 2023,"- %50 Kapasite arttırımı. - %35 Finansal borçluluk seviyesini düşürmek. - %15 Yatırım finansmanı (Kaplamalı ürünler). * İzahname, Sayfa 186.",2023
FORTE,Forte Bilgi İletişim Teknolojileri ve Savunma Sanayi A.Ş.,https://halkarz.com/forte-bilgi-iletisim-teknolojileri-ve-savunma-sanayi-a-s/,,0,12.12,Eşit Dağıtım,22000000.0,22000000.0,0.0,100.0,0.0,659270.0,21963882.0,33.32,14 Haziran 2023,"- %20 Arge yatırımlarının yapılması kapsamında. - %35 Finansal borçların faiz ve anapara ödemelerinin yapılmasında. - %35 İşletme sermayesi. - %5 Yurt dışı ofis/temsil ofisi açılışı, proje geliştirme faaliyetleri. - %5 Reorganizasyon. - İzahname, Sayfa 223.",2023
A1CAP,A1 Capital Yatırım Menkul Değerler A.Ş.,https://halkarz.com/a1-capital-yatirim-menkul-degerler-a-s/,,0,25.00,Eşit Dağıtım,35000000.0,35000000.0,0.0,100.0,0.0,753367.0,27650000.0,36.7,15 Haziran 2023,"- %100 İşletme sermayesi. * İzahname, Sayfa 193.",2023
PASEU,Pasifik Eurasia Lojistik Dış Ticaret A.Ş.,https://halkarz.com/pasifik-eurasia-lojistik-dis-ticaret-a-s/,,0,25.00,Eşit Dağıtım,34000000.0,18000000.0,5333334.0,77.14,22.86,903134.0,24225000.0,26.82,14 Haziran 2023,"- %40 Demiryolu tren işletmeciliği. - %30 Terminal yatırımları. - %20 Havayolu ve diğer yatırımlar. - %10 İşletme sermayesi. * İzahname, Sayfa 215.",2023
KTLEV,Katılımevim Tasarruf Finansman A.Ş.,https://halkarz.com/katilimevim-tasarruf-finansman-a-s/,,0,13.43,Eşit Dağıtım,60000000.0,30000000.0,24000000.0,55.56,44.44,473340.0,33967240.0,71.76,12 Haziran 2023,"- %40 İşletme sermayesi. - %20 Şube ağının genişletilmesi mevcut şubelerin yenilenmesi. - %20 Pazarlama ve reklam faaliyetleri finasmanı. - %20 Bilgi teknolojileri altyapı yazılım geliştirme yatırımları. * İzahname, Sayfa 185.",2023
BIENY,Bien Yapı Ürünleri San. Turizm ve Tic. A.Ş.,https://halkarz.com/bien-yapi-urunleri-san-turizm-ve-tic-a-s/,,0,42.80,Eşit Dağıtım,72326119.0,72326119.0,14465223.0,83.33,16.67,1445610.0,52731008.0,36.48,18 Mayıs 2023,"- %45-55 Yeni fabrika yatırımının sonuçlandırılması. - %45-55 İşletme sermayesi. * İzahname, Sayfa 317.",2023
